month,cpi,oil_nominal,gas_nominal,diesel_nominal
January 2003,1.8260000000,30.3000000000,1.4575000000,1.4880000000
February 2003,1.8360000000,32.2300000000,1.6130000000,1.6540000000
March 2003,1.8390000000,29.2300000000,1.6930000000,1.7080000000
April 2003,1.8320000000,24.4800000000,1.5890000000,1.5330000000
May 2003,1.8290000000,25.1500000000,1.4972500000,1.4510000000
June 2003,1.8310000000,27.2200000000,1.4928000000,1.4240000000
July 2003,1.8370000000,27.9500000000,1.5125000000,1.4350000000
August 2003,1.8450000000,28.5000000000,1.6202500000,1.4850000000
September 2003,1.8510000000,25.6600000000,1.6788000000,1.4610000000
October 2003,1.8490000000,27.3200000000,1.5635000000,1.4810000000
November 2003,1.8500000000,27.4700000000,1.5120000000,1.4820000000
December 2003,1.8550000000,28.6300000000,1.4788000000,1.4900000000
January 2004,1.8630000000,30.1100000000,1.5717500000,1.5510000000
February 2004,1.8670000000,30.6900000000,1.6475000000,1.5820000000
March 2004,1.8710000000,32.1600000000,1.7360000000,1.6290000000
April 2004,1.8740000000,32.3400000000,1.7977500000,1.6920000000
May 2004,1.8820000000,35.6800000000,1.9834000000,1.7460000000
June 2004,1.8890000000,33.4500000000,1.9692500000,1.7110000000
July 2004,1.8910000000,35.8900000000,1.9112500000,1.7390000000
August 2004,1.8920000000,39.4600000000,1.8780000000,1.8330000000
September 2004,1.8980000000,40.4200000000,1.8697500000,1.9170000000
October 2004,1.9080000000,45.3600000000,1.9995000000,2.1340000000
November 2004,1.9170000000,39.8900000000,1.9794000000,2.1470000000
December 2004,1.9170000000,34.0700000000,1.8410000000,2.0090000000
January 2005,1.9160000000,37.5600000000,1.8308000000,1.9588000000
February 2005,1.9240000000,39.7200000000,1.9100000000,2.0267500000
March 2005,1.9310000000,45.7300000000,2.0792500000,2.2137500000
April 2005,1.9370000000,45.2500000000,2.2425000000,2.2917500000
May 2005,1.9360000000,43.1900000000,2.1612000000,2.1988000000
June 2005,1.9370000000,49.2800000000,2.1555000000,2.2897500000
July 2005,1.9490000000,52.7900000000,2.2900000000,2.3725000000
August 2005,1.9610000000,58.6700000000,2.4862000000,2.5000000000
September 2005,1.9880000000,58.7900000000,2.9032500000,2.8187500000
October 2005,1.9910000000,55.3100000000,2.7168000000,3.0950000000
November 2005,1.9810000000,49.9700000000,2.2567500000,2.5730000000
December 2005,1.9810000000,50.8500000000,2.1850000000,2.4427500000
January 2006,1.9930000000,55.8500000000,2.3156000000,2.4674000000
February 2006,1.9940000000,52.8000000000,2.2800000000,2.4752500000
March 2006,1.9970000000,55.3100000000,2.4247500000,2.5585000000
April 2006,2.0070000000,62.4100000000,2.7420000000,2.7280000000
May 2006,2.0130000000,64.3900000000,2.9068000000,2.8966000000
June 2006,2.0180000000,63.7900000000,2.8845000000,2.8975000000
July 2006,2.0290000000,67.9900000000,2.9806000000,2.9336000000
August 2006,2.0380000000,66.4500000000,2.9517500000,3.0450000000
September 2006,2.0280000000,57.2900000000,2.5550000000,2.7830000000
October 2006,2.0190000000,52.7000000000,2.2446000000,2.5192000000
November 2006,2.0200000000,52.7000000000,2.2292500000,2.5445000000
December 2006,2.0310000000,54.9700000000,2.3127500000,2.6102500000
January 2007,2.0343700000,49.5700000000,2.2398000000,2.4846000000
February 2007,2.0422600000,53.7700000000,2.2777500000,2.4882500000
March 2007,2.0528800000,56.3100000000,2.5627500000,2.6670000000
April 2007,2.0590400000,60.4500000000,2.8450000000,2.8338000000
May 2007,2.0675500000,61.5500000000,3.1460000000,2.7962500000
June 2007,2.0723400000,65.2400000000,3.0560000000,2.8077500000
July 2007,2.0760300000,70.7500000000,2.9646000000,2.8684000000
August 2007,2.0766700000,68.2800000000,2.7857500000,2.8690000000
September 2007,2.0854700000,72.3400000000,2.8032500000,2.9532500000
October 2007,2.0919000000,78.6100000000,2.8030000000,3.0746000000
November 2007,2.1083400000,85.5300000000,3.0800000000,3.3955000000
December 2007,2.1144500000,83.2100000000,3.0184000000,3.3406000000
January 2008,2.1217400000,84.8200000000,3.0427500000,3.3077500000
February 2008,2.1268700000,87.4100000000,3.0275000000,3.3770000000
March 2008,2.1344800000,96.9600000000,3.2440000000,3.8808000000
April 2008,2.1394200000,104.7200000000,3.4580000000,4.0835000000
May 2008,2.1520800000,116.5500000000,3.7657500000,4.4250000000
June 2008,2.1746300000,126.2200000000,4.0542000000,4.6768000000
July 2008,2.1901600000,127.7700000000,4.0615000000,4.7030000000
August 2008,2.1869000000,111.1900000000,3.7785000000,4.3017500000
September 2008,2.1887700000,96.3800000000,3.7026000000,4.0240000000
October 2008,2.1699500000,70.8400000000,3.0512500000,3.5760000000
November 2008,2.1315300000,49.1000000000,2.1470000000,2.8762500000
